"data","hour","type","site","value"
20140513,15,"SO2","南京-迈皋桥","34"
20140513,15,"SO2_24h","南京-迈皋桥","21"
20140513,15,"NO2","南京-迈皋桥","50"
20140513,15,"NO2_24h","南京-迈皋桥","66"
20140513,15,"O3","南京-迈皋桥","173"
20140513,15,"O3_24h","南京-迈皋桥","222"
20140513,15,"O3_8h","南京-迈皋桥","155"
20140513,15,"O3_8h_24h","南京-迈皋桥","171"
20140513,15,"CO","南京-迈皋桥","0.837"
20140513,15,"CO_24h","南京-迈皋桥","0.666"
20140513,17,"AQI","南京-迈皋桥","97"
20140513,17,"PM2.5","南京-迈皋桥","72"
20140513,17,"PM2.5_24h","南京-迈皋桥","70"
20140513,17,"PM10","南京-迈皋桥","134"
20140513,17,"PM10_24h","南京-迈皋桥","142"
20140513,17,"SO2","南京-迈皋桥","23"
20140513,17,"SO2_24h","南京-迈皋桥","22"
20140513,17,"NO2","南京-迈皋桥","54"
20140513,17,"NO2_24h","南京-迈皋桥","69"
20140513,17,"O3","南京-迈皋桥","162"
20140513,17,"O3_24h","南京-迈皋桥","222"
20140513,17,"O3_8h","南京-迈皋桥","180"
20140513,17,"O3_8h_24h","南京-迈皋桥","180"
20140513,17,"CO","南京-迈皋桥","0.758"
20140513,17,"CO_24h","南京-迈皋桥","0.704"
20140513,18,"AQI","南京-迈皋桥","98"
20140513,18,"PM2.5","南京-迈皋桥","73"
20140513,18,"PM2.5_24h","南京-迈皋桥","71"
20140513,18,"PM10","南京-迈皋桥","131"
20140513,18,"PM10_24h","南京-迈皋桥","144"
20140513,18,"SO2","南京-迈皋桥","39"
20140513,18,"SO2_24h","南京-迈皋桥","23"
20140513,18,"NO2","南京-迈皋桥","62"
20140513,18,"NO2_24h","南京-迈皋桥","70"
20140513,18,"O3","南京-迈皋桥","141"
20140513,18,"O3_24h","南京-迈皋桥","222"
20140513,18,"O3_8h","南京-迈皋桥","180"
20140513,18,"O3_8h_24h","南京-迈皋桥","180"
20140513,18,"CO","南京-迈皋桥","0.751"
20140513,18,"CO_24h","南京-迈皋桥","0.72"
20140513,19,"AQI","南京-迈皋桥","110"
20140513,19,"PM2.5","南京-迈皋桥","83"
20140513,19,"PM2.5_24h","南京-迈皋桥","73"
20140513,19,"PM10","南京-迈皋桥","145"
20140513,19,"PM10_24h","南京-迈皋桥","145"
20140513,19,"SO2","南京-迈皋桥","29"
20140513,19,"SO2_24h","南京-迈皋桥","24"
20140513,19,"NO2","南京-迈皋桥","96"
20140513,19,"NO2_24h","南京-迈皋桥","70"
20140513,19,"O3","南京-迈皋桥","78"
20140513,19,"O3_24h","南京-迈皋桥","222"
20140513,19,"O3_8h","南京-迈皋桥","169"
20140513,19,"O3_8h_24h","南京-迈皋桥","180"
20140513,19,"CO","南京-迈皋桥","0.999"
20140513,19,"CO_24h","南京-迈皋桥","0.742"
20140513,20,"AQI","南京-迈皋桥","122"
20140513,20,"PM2.5","南京-迈皋桥","92"
20140513,20,"PM2.5_24h","南京-迈皋桥","75"
20140513,20,"PM10","南京-迈皋桥","174"
20140513,20,"PM10_24h","南京-迈皋桥","146"
20140513,20,"SO2","南京-迈皋桥","31"
20140513,20,"SO2_24h","南京-迈皋桥","25"
20140513,20,"NO2","南京-迈皋桥","92"
20140513,20,"NO2_24h","南京-迈皋桥","70"
20140513,20,"O3","南京-迈皋桥","49"
20140513,20,"O3_24h","南京-迈皋桥","222"
20140513,20,"O3_8h","南京-迈皋桥","151"
20140513,20,"O3_8h_24h","南京-迈皋桥","180"
20140513,20,"CO","南京-迈皋桥","0.872"
20140513,20,"CO_24h","南京-迈皋桥","0.751"
20140513,21,"AQI","南京-迈皋桥","123"
20140513,21,"PM2.5","南京-迈皋桥","93"
20140513,21,"PM2.5_24h","南京-迈皋桥","76"
20140513,21,"PM10","南京-迈皋桥","176"
20140513,21,"PM10_24h","南京-迈皋桥","147"
20140513,21,"SO2","南京-迈皋桥","23"
20140513,21,"SO2_24h","南京-迈皋桥","25"
20140513,21,"NO2","南京-迈皋桥","84"
20140513,21,"NO2_24h","南京-迈皋桥","69"
20140513,21,"O3","南京-迈皋桥","32"
20140513,21,"O3_24h","南京-迈皋桥","222"
20140513,21,"O3_8h","南京-迈皋桥","128"
20140513,21,"O3_8h_24h","南京-迈皋桥","180"
20140513,21,"CO","南京-迈皋桥","0.845"
20140513,21,"CO_24h","南京-迈皋桥","0.758"
20140513,22,"AQI","南京-迈皋桥","115"
20140513,22,"PM2.5","南京-迈皋桥","87"
20140513,22,"PM2.5_24h","南京-迈皋桥","77"
20140513,22,"PM10","南京-迈皋桥","147"
20140513,22,"PM10_24h","南京-迈皋桥","147"
20140513,22,"SO2","南京-迈皋桥","19"
20140513,22,"SO2_24h","南京-迈皋桥","26"
20140513,22,"NO2","南京-迈皋桥","79"
20140513,22,"NO2_24h","南京-迈皋桥","68"
20140513,22,"O3","南京-迈皋桥","22"
20140513,22,"O3_24h","南京-迈皋桥","222"
20140513,22,"O3_8h","南京-迈皋桥","103"
20140513,22,"O3_8h_24h","南京-迈皋桥","180"
20140513,22,"CO","南京-迈皋桥","0.818"
20140513,22,"CO_24h","南京-迈皋桥","0.761"
20140513,23,"AQI","南京-迈皋桥","108"
20140513,23,"PM2.5","南京-迈皋桥","81"
20140513,23,"PM2.5_24h","南京-迈皋桥","77"
20140513,23,"PM10","南京-迈皋桥","128"
20140513,23,"PM10_24h","南京-迈皋桥","146"
20140513,23,"SO2","南京-迈皋桥","22"
20140513,23,"SO2_24h","南京-迈皋桥","26"
20140513,23,"NO2","南京-迈皋桥","69"
20140513,23,"NO2_24h","南京-迈皋桥","67"
20140513,23,"O3","南京-迈皋桥","27"
20140513,23,"O3_24h","南京-迈皋桥","222"
20140513,23,"O3_8h","南京-迈皋桥","85"
20140513,23,"O3_8h_24h","南京-迈皋桥","180"
20140513,23,"CO","南京-迈皋桥","0.817"
20140513,23,"CO_24h","南京-迈皋桥","0.764"
20140513,0,"AQI","南京-草场门","142"
20140513,0,"PM2.5","南京-草场门","66"
20140513,0,"PM2.5_24h","南京-草场门","70"
20140513,0,"PM10","南京-草场门","234"
20140513,0,"PM10_24h","南京-草场门","178"
20140513,0,"SO2","南京-草场门","14"
20140513,0,"SO2_24h","南京-草场门","21"
20140513,0,"NO2","南京-草场门",NA
20140513,0,"NO2_24h","南京-草场门","54"
20140513,0,"O3","南京-草场门",NA
20140513,0,"O3_24h","南京-草场门","183"
20140513,0,"O3_8h","南京-草场门","82"
20140513,0,"O3_8h_24h","南京-草场门","158"
20140513,0,"CO","南京-草场门","1.498"
20140513,0,"CO_24h","南京-草场门","1.141"
20140513,1,"AQI","南京-草场门","137"
20140513,1,"PM2.5","南京-草场门","70"
20140513,1,"PM2.5_24h","南京-草场门","70"
20140513,1,"PM10","南京-草场门","223"
20140513,1,"PM10_24h","南京-草场门","181"
20140513,1,"SO2","南京-草场门","14"
20140513,1,"SO2_24h","南京-草场门","21"
20140513,1,"NO2","南京-草场门",NA
20140513,1,"NO2_24h","南京-草场门","52"
20140513,1,"O3","南京-草场门",NA
20140513,1,"O3_24h","南京-草场门","183"
20140513,1,"O3_8h","南京-草场门","63"
20140513,1,"O3_8h_24h","南京-草场门","158"
20140513,1,"CO","南京-草场门","1.02"
20140513,1,"CO_24h","南京-草场门","1.129"
20140513,2,"AQI","南京-草场门","117"
20140513,2,"PM2.5","南京-草场门","62"
20140513,2,"PM2.5_24h","南京-草场门","69"
20140513,2,"PM10","南京-草场门","183"
20140513,2,"PM10_24h","南京-草场门","182"
20140513,2,"SO2","南京-草场门","15"
20140513,2,"SO2_24h","南京-草场门","22"
20140513,2,"NO2","南京-草场门","96"
20140513,2,"NO2_24h","南京-草场门","53"
20140513,2,"O3","南京-草场门","8"
20140513,2,"O3_24h","南京-草场门","183"
20140513,2,"O3_8h","南京-草场门","28"
20140513,2,"O3_8h_24h","南京-草场门","158"
20140513,2,"CO","南京-草场门","0.951"
20140513,2,"CO_24h","南京-草场门","1.111"
20140513,3,"AQI","南京-草场门","115"
20140513,3,"PM2.5","南京-草场门","64"
20140513,3,"PM2.5_24h","南京-草场门","68"
20140513,3,"PM10","南京-草场门","179"
20140513,3,"PM10_24h","南京-草场门","183"
20140513,3,"SO2","南京-草场门","17"
20140513,3,"SO2_24h","南京-草场门","22"
20140513,3,"NO2","南京-草场门","71"
20140513,3,"NO2_24h","南京-草场门","54"
20140513,3,"O3","南京-草场门","47"
20140513,3,"O3_24h","南京-草场门","183"
20140513,3,"O3_8h","南京-草场门","15"
20140513,3,"O3_8h_24h","南京-草场门","158"
20140513,3,"CO","南京-草场门","0.89"
20140513,3,"CO_24h","南京-草场门","1.092"
20140513,4,"AQI","南京-草场门","111"
20140513,4,"PM2.5","南京-草场门","65"
20140513,4,"PM2.5_24h","南京-草场门","67"
20140513,4,"PM10","南京-草场门","171"
20140513,4,"PM10_24h","南京-草场门","182"
20140513,4,"SO2","南京-草场门","18"
20140513,4,"SO2_24h","南京-草场门","22"
20140513,4,"NO2","南京-草场门","71"
20140513,4,"NO2_24h","南京-草场门","55"
20140513,4,"O3","南京-草场门","50"
20140513,4,"O3_24h","南京-草场门","183"
20140513,4,"O3_8h","南京-草场门","24"
20140513,4,"O3_8h_24h","南京-草场门","158"
20140513,4,"CO","南京-草场门","0.908"
20140513,4,"CO_24h","南京-草场门","1.081"
20140513,5,"AQI","南京-草场门","114"
20140513,5,"PM2.5","南京-草场门","67"
20140513,5,"PM2.5_24h","南京-草场门","66"
20140513,5,"PM10","南京-草场门","178"
20140513,5,"PM10_24h","南京-草场门","183"
20140513,5,"SO2","南京-草场门","19"
20140513,5,"SO2_24h","南京-草场门","22"
20140513,5,"NO2","南京-草场门","76"
20140513,5,"NO2_24h","南京-草场门","56"
20140513,5,"O3","南京-草场门","30"
20140513,5,"O3_24h","南京-草场门","183"
20140513,5,"O3_8h","南京-草场门","29"
20140513,5,"O3_8h_24h","南京-草场门","158"
20140513,5,"CO","南京-草场门","1.083"
20140513,5,"CO_24h","南京-草场门","1.071"
20140513,6,"AQI","南京-草场门","120"
20140513,6,"PM2.5","南京-草场门","74"
20140513,6,"PM2.5_24h","南京-草场门","65"
20140513,6,"PM10","南京-草场门","190"
20140513,6,"PM10_24h","南京-草场门","184"
20140513,6,"SO2","南京-草场门","19"
20140513,6,"SO2_24h","南京-草场门","22"
20140513,6,"NO2","南京-草场门","80"
20140513,6,"NO2_24h","南京-草场门","58"
20140513,6,"O3","南京-草场门","28"
20140513,6,"O3_24h","南京-草场门","183"
20140513,6,"O3_8h","南京-草场门","33"
20140513,6,"O3_8h_24h","南京-草场门","158"
20140513,6,"CO","南京-草场门","1.125"
20140513,6,"CO_24h","南京-草场门","1.061"
20140513,7,"AQI","南京-草场门","121"
20140513,7,"PM2.5","南京-草场门","79"
20140513,7,"PM2.5_24h","南京-草场门","64"
20140513,7,"PM10","南京-草场门","191"
20140513,7,"PM10_24h","南京-草场门","184"
20140513,7,"SO2","南京-草场门","23"
20140513,7,"SO2_24h","南京-草场门","22"
20140513,7,"NO2","南京-草场门","87"
20140513,7,"NO2_24h","南京-草场门","59"
20140513,7,"O3","南京-草场门","25"
20140513,7,"O3_24h","南京-草场门","183"
20140513,7,"O3_8h","南京-草场门","31"
20140513,7,"O3_8h_24h","南京-草场门","158"
20140513,7,"CO","南京-草场门","1.534"
20140513,7,"CO_24h","南京-草场门","1.06"
20140513,8,"AQI","南京-草场门","123"
20140513,8,"PM2.5","南京-草场门","73"
20140513,8,"PM2.5_24h","南京-草场门","63"
20140513,8,"PM10","南京-草场门","196"
20140513,8,"PM10_24h","南京-草场门","184"
